Title,EmploymentType,Location,Closingdate,Agency,Link
Java Developer - Work From Home + Sign On Bonus!,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/java-developer-work-from-home-sign-on-bonus-richmond-virginia-united-states
Applications Programmer / Analyst Expert - Work From Home + Sign On Bonus!,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/applications-programmer-analyst-expert-work-from-home-sign-on-bonus-richmond-virginia-united-states
Information Technology Business Analyst - Work From Home + Sign On Bonus!,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/information-technology-business-analyst-work-from-home-sign-on-bonus-richmond-virginia-united-states
Attorney - Assistant Public Defender I - Richmond,Full-Time (Salaried),Richmond,Feb 23 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-richmond-richmond-virginia-united-states
Corrections Officer (Caroline Correctional Unit),Full-Time (Salaried),"Caroline
  Charles City
  Chesterfield
  Hanover
  Henrico
  Hopewell
  Petersburg
  Richmond

            Caroline
  Charles City
  Chesterfield",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-caroline-correctional-unit-haynesville-virginia-united-states
Capital Outlay Program Reviewer - EE061,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/capital-outlay-program-reviewer-ee061-richmond-virginia-united-states
Sr. Application & Integration Developer - 00020,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/sr-application-integration-developer-00020-richmond-virginia-united-states
Cyber Compliance Lead - Work From Home + Sign On Bonus!,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/cyber-compliance-lead-work-from-home-sign-on-bonus-richmond-virginia-united-states
Housekeeping Worker-Day Shift,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/housekeeping-worker-day-shift-richmond-virginia-united-states
Environmental Program Planner,Full-Time (Salaried),Richmond,,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/environmental-program-planner-richmond-virginia-united-states
"Senior IT Auditor - UP TO $10,000 SIGN-ON BONUS",Full-Time (Salaried),"Henrico
  Richmond",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/senior-it-auditor-up-to-10-000-sign-on-bonus-richmond-virginia-united-states
Fraud Data Analyst - Work From Home + Sign On Bonus!,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/fraud-data-analyst-work-from-home-sign-on-bonus-richmond-virginia-united-states
Application / User Support Supervisor - Work From Home + Sign On Bonus!,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/application-user-support-supervisor-work-from-home-sign-on-bonus-richmond-virginia-united-states
CO - P4540 - Groundwater Characterization Geologist,Full-Time (Salaried),"Henrico
  Richmond",,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4540-groundwater-characterization-geologist-richmond-virginia-united-states-72f8aa48-5311-4c75-a050-db758481c45b
CO-P4599-Permitting Ombudsman,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4599-ombudsman-richmond-virginia-united-states
Deputy Solicitor General (OAG00374),Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/deputy-solicitor-general-richmond-virginia-united-states
CO - P0239 - VPDES POTW & Industrial Waste Water Treatment Compliance Coordinator,Full-Time (Salaried),Richmond,,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0239-vpdes-potw-industrial-waste-water-treatment-compliance-coordinator-richmond-virginia-united-states
Capital Outlay Reviewer - EE037,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/capital-outlay-reviewer-ee037-richmond-virginia-united-states
"Assistant Attorney General, Correctional Litigation Section (OAG00591)",Full-Time (Salaried),"Washington
  Richmond",,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-oag00591-richmond-virginia-united-states
HR Manager,Full-Time (Salaried),Richmond,,The Science Museum of Virginia,https://www.jobs.virginia.gov/jobs/hr-manager-richmond-virginia-united-states-f9fd55a7-58dd-474b-b832-7c0b5add5910
"Deputy Director, eProcurement Bureau (eVA)",Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/deputy-director-eprocurement-bureau-eva-richmond-virginia-united-states
Assistant Attorney General / Employment Law - OAG00801,Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-employment-law-oag00801-richmond-virginia-united-states
Assistant Attorney General / Employment Law - OAG00802,Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-employment-law-oag00802-richmond-virginia-united-states
"Admin Office Specialist III, Correctional Litigation Section (OAG00555)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/admin-office-specialist-iii-richmond-virginia-united-states
Digital Collections Specialist - WWII Separation Notices Digital Project,"Full-Time (Salaried)
              Restricted Full-Time",Richmond,,The Library of Virginia,https://www.jobs.virginia.gov/jobs/digital-collections-specialist-wwii-separation-notices-digital-project-richmond-virginia-united-states
Senior IT Procurement Policy Analyst,Full-Time (Salaried),Richmond,,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/senior-it-procurement-policy-analyst-richmond-virginia-united-states
Member Counseling Representative (Remote),Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/member-counseling-representative-remote-richmond-virginia-united-states
Administrative Law Clerk - Judge Athey's Chambers,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/administrative-law-clerk-judge-athey-s-chambers-richmond-virginia-united-states
Deputy State Health Commissioner (Deputy Commissioner for Community Health Services),Full-Time (Salaried),Richmond,,Department of Health,https://www.jobs.virginia.gov/jobs/deputy-state-health-commissioner-deputy-commissioner-for-community-health-services-richmond-virginia-united-states
