Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
CO - P4603 - Land Application Permit Writer,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 - $85,000",General Public - G,Open,2023-03-10T23:55:00Z,"Outside of State
  Washington
  Prince Georges, MD
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County, Virginia
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Washington
  Prince Georges, MD",Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4603-land-application-permit-writer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,2023-02-26
Food Operations Director: Coffeewood Correctional Center #00041,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$50,811 - $83,329",General Public - G,Open,2023-03-10T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-director-coffeewood-correctional-center-00041-culpepper-virginia-united-states,2023-02-26
Fiscal Technician Senior: Virginia Correctional Center For Women #01138,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$38,000 - $54,317",General Public - G,Open,2023-03-10T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/fiscal-technician-senior-virginia-correctional-center-for-women-01138-goochland-virginia-united-states,2023-02-26
Fiscal Technician: Fluvanna Correctional Center For Women #00102,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,2023-03-10T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/fiscal-technician-fluvanna-correctional-center-for-women-00102-fluvanna-virginia-united-states,2023-02-26
Application Developer,Department of Criminal Justice Svcs,Full-Time (Salaried),NA,"The anticipated starting salary range is $75,000 to $91,000",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Dept of Criminal Justice Serv.,https://www.jobs.virginia.gov/jobs/application-developer-richmond-virginia-united-states-f0d07cb6-13fe-43cf-a42a-1317ab1f457e,2023-02-26
Food Operations Assistant Director: Lunenburg Correctional Center #00042,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Open,2023-03-10T23:55:00Z,Lunenburg,Lunenburg Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-lunenburg-correctional-center-00042-lunenburg-virginia-united-states,2023-02-26
Highway Maintenance Crew Member,VA Department of Transportation,Full-Time (Salaried),NA,"$40,000 - $53,633",General Public - G,Open,2023-03-17T23:55:00Z,Madison,Madison AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-madison-virginia-united-states,2023-03-04
Environmental Health Tech Specialist,Department of Health,Full-Time (Salaried),NA,"$48,985.00 - $65,418.00",Agency Employee Only - A,Open,2023-03-10T23:55:00Z,"James City
  Newport News
  Poquoson
  Williamsburg
  York

            James City
  Newport News
  Poquoson",PENINSULA HQ,https://www.jobs.virginia.gov/jobs/environmental-health-tech-specialist-james-city-virginia-united-states-newport-news-poquoson-williamsburg-york,2023-03-04
Contact Center Representative - Hybrid Retirement Plan Counseling Representative (Remote),Virginia Retirement System,Full-Time (Salaried),NA,"$54,361 - $59,797",General Public - G,Open,2023-04-04T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-hybrid-retirement-plan-counseling-representative-remote-richmond-virginia-united-states,2023-03-04
Contact Center Representative - Employer Support (Remote),Virginia Retirement System,Full-Time (Salaried),NA,"$48,107 - $51,107",General Public - G,Open,2023-03-31T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-employer-support-remote-richmond-virginia-united-states,2023-03-04
Living History Interpreter,Jamestown-Yorktown Foundation,Full-Time (Salaried),NA,"32,500",General Public - G,Open,2023-03-26T23:55:00Z,"James City
  Williamsburg
  York",Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/living-history-interpreter-james-city-virginia-united-states-williamsburg-york,2023-03-04
Beneficiary Payments Analyst,Virginia Retirement System,Full-Time (Salaried),NA,"$43,733 - $55,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/beneficiary-payments-analyst-richmond-virginia-united-states,2023-03-04
"Systems Development Manager, Position No. 00022",Department of Motor Vehicles,Full-Time (Salaried),NA,"$90,000 - commensurate with experience",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,WORKFORCE EFFICIENCY TEAM,https://www.jobs.virginia.gov/jobs/systems-development-manager-position-no-00022-richmond-virginia-united-states,2023-03-04
Engineer Land Use,VA Department of Transportation,Full-Time (Salaried),NA,"$67,646 - 109,925",General Public - G,Open,2023-03-17T23:55:00Z,Louisa,Louisa Residency,https://www.jobs.virginia.gov/jobs/engineer-land-use-louisa-virginia-united-states,2023-03-04
"Support Enforcement Specialist, W0484 (Multiple Positions)",Department of Social Services,Full-Time (Salaried),NA,"$38,894 - $48,871, salary commensurate with experience",General Public - G,Open,2023-03-13T23:55:00Z,Norfolk,DCSE EASTERN VIRGINIA,https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-w0484-multiple-positions-norfolk-virginia-united-states,2023-03-04
Procurement Specialist Senior - CF092,Department of Forensic Science,Full-Time (Salaried),5,"$50,811- $76,000",State Employee Only - E,Open,2023-03-17T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/procurement-specialist-senior-cf092-richmond-virginia-united-states,2023-03-04
Ferry Captain Jr,VA Department of Transportation,Full-Time (Salaried),NA,"$55,021 - $75,000",Agency Employee Only - A,Open,2023-03-12T23:55:00Z,Surry,Jamestown Scotland Ferry,https://www.jobs.virginia.gov/jobs/ferry-captain-jr-surry-virginia-united-states,2023-03-04
Procurement Officer III,VA Department of Transportation,Full-Time (Salaried),NA,"$67,963 - $110,440",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Hospital Building,https://www.jobs.virginia.gov/jobs/procurement-officer-iii-richmond-virginia-united-states,2023-03-04
Environmental Engineer,Marine Resources Commission,Full-Time (Salaried),NA,"$50,811 - $70,000",General Public - G,Open,2023-03-26T23:55:00Z,"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",main location,https://www.jobs.virginia.gov/jobs/environmental-engineer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-coun,2023-03-04
Payroll Supervisor: #00290,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$54,023 - $75,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/payroll-supervisor-00290-richmond-virginia-united-states,2023-03-04
Cognitive Counselor (Substance Use Disorder): Wallens Ridge State Prison #01338,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $64,909",General Public - G,Open,2023-03-17T23:55:00Z,Wise,Wallens Ridge State Prison,https://www.jobs.virginia.gov/jobs/cognitive-counselor-substance-use-disorder-wallens-ridge-state-prison-01338-wise-virginia-united-states,2023-03-04
IT Auditor Senior: #00575,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$69,458 - $113,910",General Public - G,Open,NA,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/it-auditor-senior-00575-richmond-virginia-united-states,2023-03-04
Clerk of Court - Danville,Supreme Court,Full-Time (Salaried),NA,"negotiable to $58,271",General Public - G,Open,2023-03-31T23:55:00Z,Danville,CSU 22 - Danville,https://www.jobs.virginia.gov/jobs/clerk-of-court-danville-danville-virginia-united-states,2023-03-04
Probation Officer,Department of Juvenile Justice,Full-Time (Salaried),NA,"starting $53,183 (commensurate with experience)",General Public - G,Open,2023-03-19T23:55:00Z,Virginia Beach,2nd Dist. CSU Va Beach,https://www.jobs.virginia.gov/jobs/probation-officer-virginia-beach-virginia-united-states-b2f9d72e-6092-4d72-8f71-fc2e13afc73d,2023-03-04
Vocational Rehabilitation Counselor - #ARS00003,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,"Minimum starting salary at $60,638 commensurate with experience",General Public - G,Open,NA,Alexandria,Aging & Rehab Svcs (NOVA),https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars00003-alexandria-virginia-united-states,2023-03-04
Corrections Officer: Central Virginia Correctional Unit 13 #13030,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,2023-03-17T23:55:00Z,Chesterfield,Central VA Corr Unit 13,https://www.jobs.virginia.gov/jobs/corrections-officer-central-virginia-correctional-unit-13-13030-chesterfield-virginia-united-states,2023-03-04
Office Services Specialist: P&P District #23 Virginia Beach #P2395,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$31,200 - $41,576",General Public - G,Open,2023-03-17T23:55:00Z,Virginia Beach,Virginia Beach P&P,https://www.jobs.virginia.gov/jobs/office-services-specialist-p-p-district-23-virginia-beach-p2395-virginia-beach-virginia-united-states,2023-03-04
Purchase of Prior Service Analyst,Virginia Retirement System,Full-Time (Salaried),NA,"$57,000-$62,000",General Public - G,Open,2023-03-12T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/purchase-of-prior-service-analyst-richmond-virginia-united-states,2023-03-04
CO - P1084 - Surface Water Withdrawal Team Lead - VWP,Department of Environmental Quality,Full-Time (Salaried),5,"$50,811 – $95,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p1084-surface-water-withdrawal-team-lead-vwp-richmond-virginia-united-states,2023-03-04
Production Foreman: Coffeewood Correctional Center #00222,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$36,934 - $55,401",General Public - G,Open,2023-03-17T23:55:00Z,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/production-foreman-coffeewood-correctional-center-00222-culpepper-virginia-united-states,2023-03-04
Production Foreman: Virginia Correctional Center For Women #00103,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$36,934 - $55,401",General Public - G,Open,2023-03-17T23:55:00Z,Goochland,Virginia Corr Ctr For Women,https://www.jobs.virginia.gov/jobs/production-foreman-virginia-correctional-center-for-women-00103-goochland-virginia-united-states,2023-03-04
Program Support Technician (Health Services) #00703: Nottoway Correctional Center,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,NA,Nottoway,Nottoway Correctional Center,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-00703-nottoway-correctional-center-nottoway-virginia-united-states,2023-03-04
Casework Counselor (Multiple Positions): Greensville Correctional Center #00965,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Open,2023-03-17T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/casework-counselor-multiple-positions-greensville-correctional-center-00965-greensville-virginia-united-states,2023-03-04
Office Services Supervisor Sr,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $45,486",General Public - G,Open,2023-03-19T23:55:00Z,Virginia Beach,2nd Dist. CSU VA Beach,https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-virginia-beach-virginia-united-states-eefb76d4-2725-4c2a-8e15-4bec17a3d47f,2023-03-04
Corrections Captain: Greensville Correctional Center #00515,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$56,564 - $96,315",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/corrections-captain-greensville-correctional-center-00515-greensville-virginia-united-states,2023-03-04
Highway Maintenance Equipment Operator,VA Department of Transportation,Full-Time (Salaried),NA,"$30,983- $50,000 Based on Experience",General Public - G,Open,NA,"Floyd
  Giles
  Montgomery County
  Pulaski

            Floyd
  Giles
  Montgomery County",Christiansburg Residency,https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-floyd-virginia-united-states-giles-virginia-montgomery-county-pulaski,2023-03-04
Plant Protection Inspector (Abingdon) #00431,Agriculture & Consumer Svcs,Full-Time (Salaried),4,"Up to $58,000 annually. Excellent State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,"Bristol
  Buchanan
  Dickenson
  Lee
  Norton
  Russell
  Scott
  Smyth
  Tazewell
  Washington
  Wise

            Bristol
  Buchanan
  Dickenson",SOUTHWEST,https://www.jobs.virginia.gov/jobs/plant-protection-inspector-abingdon-00431-bristol-virginia-united-states-buchanan-dickenson-lee-norton-russell-scott-smyth-tazewell-washington-wise-virginia,2023-03-04
